(1, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(2, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(3, 'Tue, 02 Jun 43311 08:40:00 +0000', 'Mon, 08 Jun 43333 00:40:00 +0000')
(4, 'Tue, 02 Jun 43311 08:40:00 +0000', 'Mon, 08 Jun 43333 00:40:00 +0000')
(5, 'Tue, 02 Jun 43311 08:40:00 +0000', 'Wed, 23 Jul 43332 14:00:00 +0000')
(6, 'Tue, 02 Jun 43311 08:40:00 +0000', 'Wed, 23 Jul 43332 14:00:00 +0000')
(7, 'Sat, 04 Apr 43311 08:00:00 +0000', 'Mon, 08 Jun 43333 00:40:00 +0000')
(8, 'Sat, 04 Apr 43311 08:00:00 +0000', 'Mon, 08 Jun 43333 00:40:00 +0000')
(9, 'Mon, 07 Dec 43311 13:20:00 +0000', 'Mon, 08 Jun 43333 00:40:00 +0000')
(10, 'Mon, 07 Dec 43311 13:20:00 +0000', 'Mon, 08 Jun 43333 00:40:00 +0000')
(11, 'Tue, 02 Jun 43311 08:40:00 +0000', 'Mon, 08 Jun 43333 00:40:00 +0000')
(12, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(13, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(14, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(15, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(16, 'Tue, 26 May 43311 10:00:00 +0000', 'Sat, 27 Jun 43333 11:20:00 +0000')
(17, 'Tue, 07 Apr 43311 19:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(18, 'Tue, 07 Apr 43311 19:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(19, 'Fri, 24 Jul 43311 10:40:00 +0000', 'Sat, 27 Jun 43333 11:20:00 +0000')
(20, 'Fri, 26 Jun 43311 16:00:00 +0000', 'Sat, 27 Jun 43333 11:20:00 +0000')
(21, 'Tue, 07 Apr 43311 19:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(22, 'Tue, 07 Apr 43311 19:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(23, 'Mon, 10 Aug 43311 19:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(24, 'Mon, 10 Aug 43311 19:20:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(25, 'Mon, 10 Aug 43311 19:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(26, 'Mon, 10 Aug 43311 19:20:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(27, 'Fri, 24 Jul 43311 10:40:00 +0000', 'Fri, 04 Apr 43332 04:00:00 +0000')
(28, 'Tue, 07 Apr 43311 19:20:00 +0000', 'Sat, 27 Jun 43333 11:20:00 +0000')
(29, 'Fri, 24 Jul 43311 10:40:00 +0000', 'Thu, 06 Mar 43332 16:40:00 +0000')
(30, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Sun, 13 Apr 43332 21:20:00 +0000')
(31, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Sun, 13 Apr 43332 21:20:00 +0000')
(32, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Sun, 13 Apr 43332 21:20:00 +0000')
(33, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Sun, 13 Apr 43332 21:20:00 +0000')
(34, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(35, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(36, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Sun, 13 Apr 43332 21:20:00 +0000')
(37, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(38, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(39, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(40, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(41, 'Tue, 14 Apr 43311 18:00:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(42, 'Tue, 14 Apr 43311 18:00:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(43, 'Tue, 14 Apr 43311 18:00:00 +0000', 'Sun, 13 Apr 43332 21:20:00 +0000')
(44, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(45, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(46, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(47, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(48, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(49, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(50, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(51, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(52, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(53, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(54, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(55, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Mon, 16 Mar 43333 00:00:00 +0000')
(56, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Fri, 29 Aug 43332 09:20:00 +0000')
(57, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Fri, 29 Aug 43332 09:20:00 +0000')
(58, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Fri, 29 Aug 43332 09:20:00 +0000')
(59, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Fri, 29 Aug 43332 09:20:00 +0000')
(60, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Sat, 29 Mar 43332 14:40:00 +0000')
(61, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Sat, 29 Mar 43332 14:40:00 +0000')
(62, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Sat, 29 Mar 43332 14:40:00 +0000')
(63, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Sat, 29 Mar 43332 14:40:00 +0000')
(64, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Sat, 29 Mar 43332 14:40:00 +0000')
(65, 'Fri, 21 Aug 43311 05:20:00 +0000', 'Sat, 29 Mar 43332 14:40:00 +0000')
(66, 'Mon, 12 Oct 43311 07:20:00 +0000', 'Wed, 04 Jun 43332 23:20:00 +0000')
(67, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(68, 'Fri, 20 Feb 43243 20:40:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(69, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(70, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(71, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(72, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(73, 'Thu, 01 Oct 43243 02:00:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(74, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(75, 'Sun, 13 Sep 43243 17:20:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(76, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(77, 'Tue, 09 Dec 43242 22:40:00 +0000', 'Thu, 12 Jul 43285 12:00:00 +0000')
(78, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(79, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(80, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(81, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(82, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
(83, 'Sun, 20 Sep 43243 16:00:00 +0000', 'Thu, 14 Jun 43285 00:40:00 +0000')
