ORIGIN, DEST, START, END, TICKET, RANDOM_FIELD
SEA, KOA, 1304616000000, 1305266760000, 562.7, 1300656278846\n
SEA, KOA, 1304616000000, 1305266760000, 562.7, 1300656278846\n
SEA, KOA, 1304609100000, 1305303900000, 564.97, 1300656278846\n
SEA, KOA, 1304609100000, 1305303900000, 564.97, 1300656278846\n
SEA, KOA, 1304609100000, 1305276300000, 564.97, 1300656278846\n
SEA, KOA, 1304609100000, 1305276300000, 564.97, 1300656278846\n
SEA, KOA, 1304604000000, 1305303900000, 564.97, 1300656278846\n
SEA, KOA, 1304604000000, 1305303900000, 564.97, 1300656278846\n
SEA, KOA, 1304609100000, 1305303900000, 568.67, 1300656278846\n
SEA, KOA, 1304620500000, 1305264300000, 572.0, 1300656278846\n
SEA, KOA, 1304616000000, 1305264300000, 572.0, 1300656278846\n
SEA, KOA, 1304616000000, 1305264300000, 572.0, 1300656278846\n
SEA, KOA, 1304616000000, 1305264300000, 572.0, 1300656278846\n
SEA, KOA, 1304608500000, 1305305580000, 581.93, 1300656278846\n
SEA, KOA, 1304604300000, 1305266760000, 585.9, 1300656278846\n
SEA, KOA, 1304604300000, 1305266760000, 585.9, 1300656278846\n
SEA, KOA, 1304613600000, 1305305580000, 590.5, 1300656278846\n
SEA, KOA, 1304611200000, 1305305580000, 597.21, 1300656278846\n
SEA, KOA, 1304604300000, 1305264300000, 597.7, 1300656278846\n
SEA, KOA, 1304604300000, 1305264300000, 597.7, 1300656278846\n
SEA, KOA, 1304615100000, 1305266760000, 597.7, 1300656278846\n
SEA, KOA, 1304615100000, 1305266760000, 597.7, 1300656278846\n
SEA, KOA, 1304615100000, 1305264300000, 607.0, 1300656278846\n
SEA, KOA, 1304615100000, 1305264300000, 607.0, 1300656278846\n
SEA, KOA, 1304613600000, 1305266760000, 610.5, 1300656278846\n
SEA, KOA, 1304604300000, 1305305580000, 614.9, 1300656278846\n
SEA, KOA, 1304613600000, 1305264300000, 619.8, 1300656278846\n
SEA, KOA, 1304620500000, 1305267600000, 620.7, 1300656278846\n
SEA, KOA, 1304616000000, 1305267600000, 620.7, 1300656278846\n
SEA, KOA, 1304616000000, 1305267600000, 620.7, 1300656278846\n
SEA, KOA, 1304616000000, 1305267600000, 620.7, 1300656278846\n
SEA, KOA, 1304620500000, 1305272100000, 624.4, 1300656278846\n
SEA, KOA, 1304620500000, 1305272100000, 624.4, 1300656278846\n
SEA, KOA, 1304620500000, 1305267600000, 624.4, 1300656278846\n
SEA, KOA, 1304620500000, 1305272100000, 624.4, 1300656278846\n
SEA, KOA, 1304616000000, 1305272100000, 624.4, 1300656278846\n
SEA, KOA, 1304616000000, 1305272100000, 624.4, 1300656278846\n
SEA, KOA, 1304616000000, 1305272100000, 624.4, 1300656278846\n
SEA, KOA, 1304604900000, 1305272100000, 624.9, 1300656278846\n
SEA, KOA, 1304604900000, 1305272100000, 624.9, 1300656278846\n
SEA, KOA, 1304604900000, 1305267600000, 624.9, 1300656278846\n
SEA, KOA, 1304620500000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304620500000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304620500000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305296640000, 627.2, 1300656278846\n
SEA, KOA, 1304620500000, 1305279480000, 628.9, 1300656278846\n
SEA, KOA, 1304616000000, 1305279480000, 628.9, 1300656278846\n
SEA, KOA, 1304616000000, 1305279480000, 628.9, 1300656278846\n
SEA, KOA, 1304616000000, 1305279480000, 628.9, 1300656278846\n
SEA, KOA, 1304620500000, 1305266280000, 629.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305266280000, 629.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305266280000, 629.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305266280000, 629.2, 1300656278846\n
SEA, KOA, 1304620500000, 1305266280000, 629.2, 1300656278846\n
SEA, KOA, 1304616000000, 1305266280000, 629.2, 1300656278846\n
SEA, KOA, 1304620500000, 1305272100000, 624.4, 1300656278846\n
SEA, KOA, 1304522100000, 1305823980000, 444.9, 1300654744688\n
SEA, KOA, 1304520600000, 1305823980000, 501.2, 1300654744688\n
SEA, KOA, 1304534100000, 1305790500000, 514.7, 1300654744688\n
SEA, KOA, 1304534100000, 1305790500000, 514.7, 1300654744688\n
SEA, KOA, 1304534100000, 1305823980000, 518.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305790500000, 534.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305790500000, 534.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305790500000, 534.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305790500000, 534.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305790500000, 534.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305790500000, 534.7, 1300654744688\n
SEA, KOA, 1304534100000, 1305786000000, 542.2, 1300654744688\n
SEA, KOA, 1304529600000, 1305823980000, 542.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305823980000, 542.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305823980000, 542.7, 1300654744688\n
SEA, KOA, 1304524800000, 1305823980000, 558.23, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305822300000, 561.27, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304538960000, 1305794640000, 561.27, 1300654744688\n
SEA, KOA, 1304522100000, 1305815040000, 561.41, 1300654744688\n
SEA, KOA, 1304529600000, 1305786000000, 562.2, 1300654744688\n
SEA, KOA, 1304529600000, 1305786000000, 562.2, 1300654744688\n
SEA, KOA, 1304529600000, 1305786000000, 562.2, 1300654744688\n
SEA, KOA, 1304522100000, 1305831180000, 563.6, 1300654744688\n
SEA, KOA, 1304522100000, 1305831180000, 563.6, 1300654744688\n
SEA, KOA, 1304522100000, 1305832800000, 563.6, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 564.97, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 564.97, 1300654744688\n
SEA, KOA, 1304522700000, 1305822300000, 564.97, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 564.97, 1300654744688\n
SEA, KOA, 1304517600000, 1305822300000, 564.97, 1300654744688\n
SEA, KOA, 1304522700000, 1305822300000, 564.97, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 564.97, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 564.97, 1300654744688\n
SEA, KOA, 1304522700000, 1305794640000, 564.97, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 564.97, 1300654744688\n
SEA, KOA, 1304517600000, 1305794640000, 564.97, 1300654744688\n
SEA, KOA, 1304522700000, 1305794640000, 564.97, 1300654744688\n
SEA, KOA, 1304522100000, 1305790500000, 573.4, 1300654744688\n
SEA, KOA, 1304522100000, 1305790500000, 573.4, 1300654744688\n
SEA, KOA, 1304518500000, 1305790500000, 580.9, 1300654744688\n
SEA, KOA, 1304518500000, 1305790500000, 580.9, 1300654744688\n
SEA, KOA, 1304522100000, 1305786000000, 584.6, 1300654744688\n
SEA, KOA, 1304522100000, 1305786000000, 584.6, 1300654744688\n
SEA, KOA, 1304520600000, 1305815040000, 585.7, 1300654744688\n
SEA, KOA, 1304520600000, 1305790500000, 589.7, 1300654744688\n
SEA, KOA, 1304520600000, 1305790500000, 589.7, 1300654744688\n
SEA, KOA, 1304527200000, 1305823980000, 590.5, 1300654744688\n
SEA, KOA, 1304520600000, 1305786000000, 600.9, 1300654744688\n
SEA, KOA, 1304520600000, 1305786000000, 600.9, 1300654744688\n
SEA, KOA, 1304522100000, 1305823500000, 602.9, 1300654744688\n
SEA, KOA, 1304534100000, 1305815040000, 603.2, 1300654744688\n
SEA, KOA, 1304526600000, 1305823980000, 603.85, 1300654744688\n
SEA, KOA, 1304524800000, 1305823980000, 603.85, 1300654744688\n
SEA, KOA, 1304523000000, 1305823980000, 603.85, 1300654744688\n
SEA, KOA, 1304534100000, 1305790500000, 604.4, 1300654744688\n
SEA, KOA, 1304534100000, 1305790500000, 604.4, 1300654744688\n
SEA, KOA, 1304522100000, 1305786000000, 606.4, 1300654744688\n
SEA, KOA, 1304534100000, 1305823980000, 608.4, 1300654744688\n
SEA, KOA, 1304518500000, 1305786000000, 608.4, 1300654744688\n
SEA, KOA, 1304524800000, 1305823980000, 614.91, 1300654744688\n
SEA, KOA, 1304523000000, 1305823980000, 614.91, 1300654744688\n
SEA, KOA, 1304521200000, 1305823980000, 614.91, 1300654744688\n
SEA, KOA, 1304534100000, 1305786000000, 618.4, 1300654744688\n
SEA, KOA, 1304534100000, 1305786000000, 618.4, 1300654744688\n
SEA, KOA, 1304520600000, 1305823500000, 619.2, 1300654744688\n
SEA, KOA, 1304520600000, 1305786000000, 622.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305815040000, 627.2, 1300654744688\n
SEA, KOA, 1304529600000, 1305815040000, 627.2, 1300654744688\n
SEA, KOA, 1304529600000, 1305815040000, 627.2, 1300654744688\n
SEA, KOA, 1304522100000, 1305844500000, 627.69, 1300654744688\n
SEA, KOA, 1304534100000, 1305786000000, 628.2, 1300654744688\n
SEA, KOA, 1304534100000, 1305790500000, 628.41, 1300654744688\n
SEA, KOA, 1304522100000, 1305815040000, 628.93, 1300654744688\n
SEA, KOA, 1304534100000, 1305786000000, 631.9, 1300654744688\n
SEA, KOA, 1304530320000, 1305822300000, 632.7, 1300654744688\n
SEA, KOA, 1304530320000, 1305822300000, 632.7, 1300654744688\n
SEA, KOA, 1304530320000, 1305794640000, 632.7, 1300654744688\n
SEA, KOA, 1304530320000, 1305794640000, 632.7, 1300654744688\n
SEA, KOA, 1304522100000, 1305786000000, 634.6, 1300654744688\n
SEA, KOA, 1304520600000, 1305831180000, 634.91, 1300654744688\n
SEA, KOA, 1304520600000, 1305831180000, 634.91, 1300654744688\n
SEA, KOA, 1304520600000, 1305832800000, 634.91, 1300654744688\n
SEA, KOA, 1304534100000, 1305823500000, 636.7, 1300654744688\n
SEA, KOA, 1304529600000, 1305786000000, 642.4, 1300654744688\n
SEA, KOA, 1304529600000, 1305786000000, 642.4, 1300654744688\n
